container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
2198872177728,sample,__AS__,VAR,2198872538368,list,2198872044288,sample,30,0,
2198872044288,0,__AS__,INNER_FIELD,2198872534960,int,3,<class 'list'>[0],30,0,
2198872044288,1,__AS__,INNER_FIELD,2198872535488,int,4,<class 'list'>[1],30,0,
2198872044288,2,__AS__,INNER_FIELD,2198872532896,int,3,<class 'list'>[2],30,0,
2198872044288,3,__AS__,INNER_FIELD,2198872536592,int,5,<class 'list'>[3],30,0,
2198872044288,4,__AS__,INNER_FIELD,2198872535632,int,4,<class 'list'>[4],30,0,
2198872177728,caterp,__FC__,VAR,2198872530592,function,,caterp(sample),31,6,"args = [3, 4, 3, 5, 4], kwargs = "
2198852341152,caterp,__DEF__,VAR,2198872534144,function,caterp,caterp,2,7,
2198852341152,a,__ARG__,VAR,2198872529536,list,"['3', '4', '3', '5', '4']",a,2,8,
2198558509152,len,__FC__,VAR,2198872532944,function,,len(a),3,9,"args = [3, 4, 3, 5, 4], kwargs = "
2198852341152,n,__AS__,VAR,2198872527664,int,5,n,3,10,
2198852341152,j,__AS__,VAR,2198872537264,int,0,j,4,11,
2198852341152,i,__AS__,VAR,2198872532032,int,0,i,4,12,
2198852341152,k,__AS__,VAR,2198872525792,int,1,k,5,13,
2198852341152,total_slices,__AS__,VAR,2198872522864,int,0,total_slices,6,14,
2198852341152,set,__FC__,VAR,2198872530304,function,,set(),7,15,"args = , kwargs = "
2198852341152,seen,__AS__,VAR,2198872528672,set,2198871882240,seen,7,16,
2198852341152,seen,__AS__,VAR,2198872529392,set,2198871881568,seen,19,17,
2198871881568,0,__AS__,INNER_FIELD,2198872528000,int,3,<class 'set'>[0],19,17,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2198872523296,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,19,19,
2198852341152,k,__AS__,VAR,2198872533472,int,2,k,19,20,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,2198872533568,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,19,21,
2198852341152,j,__AS__,VAR,2198872529296,int,1,j,19,22,
2198852341152,seen,__AS__,VAR,2198872360512,set,2198872214208,seen,19,23,
2198872214208,0,__AS__,INNER_FIELD,2198872363776,int,3,<class 'set'>[0],19,23,
2198872214208,1,__AS__,INNER_FIELD,2198872525840,int,4,<class 'set'>[1],19,23,
2198852341152,i0,__AS__,VAR,2198872527184,int,0,i0,18,26,
2198852341152,seen,__AS__,VAR,2198872524736,set,2198871880672,seen,16,27,
2198871880672,0,__AS__,INNER_FIELD,2198872526752,int,4,<class 'set'>[0],16,27,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__4,__AS__,VAR,2198872537024,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__4,16,29,
2198852341152,i,__AS__,VAR,2198872523920,int,1,i,16,30,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__5,__AS__,VAR,2198872532800,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__5,16,31,
2198852341152,k,__AS__,VAR,2198872361904,int,1,k,16,32,
2198852341152,plus1over2,__FC__,VAR,2198872373616,function,,plus1over2(j + 1 - i0),18,33,"args = 2, kwargs = "
2198869864288,plus1over2,__DEF__,VAR,2198872359072,function,plus1over2,plus1over2,2,34,
2198869864288,k,__ARG__,VAR,2198872359360,int,2,k,2,35,
2198869864288,plus1over2,__UNDEF__,VAR,2198872363152,function,plus1over2,plus1over2,2,36,
2198852341152,plus1over2,__FC__,VAR,2198872373088,function,,plus1over2(j + 1 - i),18,37,"args = 1, kwargs = "
2198869864288,plus1over2,__DEF__,VAR,2198872368096,function,plus1over2,plus1over2,2,38,
2198869864288,k,__ARG__,VAR,2198872533376,int,1,k,2,39,
2198869864288,plus1over2,__UNDEF__,VAR,2198872523392,function,plus1over2,plus1over2,2,40,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__3,__AS__,VAR,2198872522912,float,2.0,__PALADIN_TEMP_AUG_ASSIGN_VAR__3,18,41,
2198852341152,total_slices,__AS__,VAR,2198872537312,float,2.0,total_slices,18,42,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2198872531936,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,19,43,
2198852341152,k,__AS__,VAR,2198872371024,int,2,k,19,44,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,2198872361808,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,19,45,
2198852341152,j,__AS__,VAR,2198872374288,int,2,j,19,46,
2198852341152,seen,__AS__,VAR,2198872362768,set,2198872215776,seen,19,47,
2198872215776,0,__AS__,INNER_FIELD,2198872363920,int,3,<class 'set'>[0],19,47,
2198872215776,1,__AS__,INNER_FIELD,2198872370352,int,4,<class 'set'>[1],19,47,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2198872367376,int,3,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,19,50,
2198852341152,k,__AS__,VAR,2198872537552,int,3,k,19,51,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,2198872529824,int,3,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,19,52,
2198852341152,j,__AS__,VAR,2198872536880,int,3,j,19,53,
2198852341152,seen,__AS__,VAR,2198872530016,set,2198872220032,seen,19,54,
2198872220032,0,__AS__,INNER_FIELD,2198872365552,int,3,<class 'set'>[0],19,54,
2198872220032,1,__AS__,INNER_FIELD,2198872367040,int,4,<class 'set'>[1],19,54,
2198872220032,2,__AS__,INNER_FIELD,2198872370832,int,5,<class 'set'>[2],19,54,
2198852341152,i0,__AS__,VAR,2198872359504,int,1,i0,18,58,
2198852341152,seen,__AS__,VAR,2198872369632,set,2198872212192,seen,16,59,
2198872212192,0,__AS__,INNER_FIELD,2198872374384,int,3,<class 'set'>[0],16,59,
2198872212192,1,__AS__,INNER_FIELD,2198872366224,int,5,<class 'set'>[1],16,59,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__4,__AS__,VAR,2198872361712,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__4,16,62,
2198852341152,i,__AS__,VAR,2198872537744,int,2,i,16,63,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__5,__AS__,VAR,2198872528624,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__5,16,64,
2198852341152,k,__AS__,VAR,2198872531024,int,2,k,16,65,
2198852341152,plus1over2,__FC__,VAR,2198872374240,function,,plus1over2(j + 1 - i0),18,66,"args = 3, kwargs = "
2198869864288,plus1over2,__DEF__,VAR,2198872370160,function,plus1over2,plus1over2,2,67,
2198869864288,k,__ARG__,VAR,2198872365024,int,3,k,2,68,
2198869864288,plus1over2,__UNDEF__,VAR,2198872369200,function,plus1over2,plus1over2,2,69,
2198852341152,plus1over2,__FC__,VAR,2198872374144,function,,plus1over2(j + 1 - i),18,70,"args = 2, kwargs = "
2198869864288,plus1over2,__DEF__,VAR,2198872367760,function,plus1over2,plus1over2,2,71,
2198869864288,k,__ARG__,VAR,2198872372992,int,2,k,2,72,
2198869864288,plus1over2,__UNDEF__,VAR,2198872371984,function,plus1over2,plus1over2,2,73,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__3,__AS__,VAR,2198872365312,float,5.0,__PALADIN_TEMP_AUG_ASSIGN_VAR__3,18,74,
2198852341152,total_slices,__AS__,VAR,2198872364016,float,5.0,total_slices,18,75,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2198871891760,int,3,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,19,76,
2198852341152,k,__AS__,VAR,2198872372752,int,3,k,19,77,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,2198872366800,int,4,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,19,78,
2198852341152,j,__AS__,VAR,2198872359936,int,4,j,19,79,
2198852341152,seen,__AS__,VAR,2198872359552,set,2198871882016,seen,19,80,
2198871882016,0,__AS__,INNER_FIELD,2198872365936,int,3,<class 'set'>[0],19,80,
2198871882016,1,__AS__,INNER_FIELD,2198872367088,int,4,<class 'set'>[1],19,80,
2198871882016,2,__AS__,INNER_FIELD,2198872373040,int,5,<class 'set'>[2],19,80,
2198852341152,plus1over2,__FC__,VAR,2198872370112,function,,plus1over2(k),11,84,"args = 3, kwargs = "
2198869864288,plus1over2,__DEF__,VAR,2198872360032,function,plus1over2,plus1over2,2,85,
2198869864288,k,__ARG__,VAR,2198559718944,int,3,k,2,86,
2198869864288,plus1over2,__UNDEF__,VAR,2198872365744,function,plus1over2,plus1over2,2,87,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,__AS__,VAR,2198872528480,float,11.0,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,11,88,
2198852341152,total_slices,__AS__,VAR,2198872522960,float,11.0,total_slices,11,89,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2198872529248,int,4,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,19,90,
2198852341152,k,__AS__,VAR,2198872539088,int,4,k,19,91,
2198852341152,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,2198872531120,int,5,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,19,92,
2198852341152,j,__AS__,VAR,2198872524640,int,5,j,19,93,
2198852341152,caterp,__UNDEF__,VAR,2198872531648,function,caterp,caterp,2,94,
2198872177728,caterp_result,__AS__,VAR,2198872372560,float,11.0,caterp_result,31,95,
