container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
1856709624896,sample,__AS__,VAR,1856709673504,list,1856709370048,sample,21,0,
1856709370048,0,__AS__,INNER_FIELD,1856709686896,int,3,<class 'list'>[0],21,0,
1856709370048,1,__AS__,INNER_FIELD,1856709673744,int,4,<class 'list'>[1],21,0,
1856709370048,2,__AS__,INNER_FIELD,1856709687520,int,3,<class 'list'>[2],21,0,
1856709370048,3,__AS__,INNER_FIELD,1856709688816,int,5,<class 'list'>[3],21,0,
1856709370048,4,__AS__,INNER_FIELD,1856709675040,int,4,<class 'list'>[4],21,0,
1856709624896,naive,__FC__,VAR,1856709682240,function,,naive(sample),22,6,"args = [3, 4, 3, 5, 4], kwargs = "
1856688579920,naive,__DEF__,VAR,1856709683872,function,naive,naive,2,7,
1856688579920,a,__ARG__,VAR,1856709686272,list,"['3', '4', '3', '5', '4']",a,2,8,
1856392366176,len,__FC__,VAR,1856709684256,function,,len(a),3,9,"args = [3, 4, 3, 5, 4], kwargs = "
1856688579920,n,__AS__,VAR,1856709681136,int,5,n,3,10,
1856688579920,j,__AS__,VAR,1856709673264,int,0,j,4,11,
1856688579920,i,__AS__,VAR,1856709685408,int,0,i,4,12,
1856688579920,total_slices,__AS__,VAR,1856709683536,int,0,total_slices,5,13,
1856688579920,set,__FC__,VAR,1856709682432,function,,set(),6,14,"args = , kwargs = "
1856688579920,seen,__AS__,VAR,1856709678784,set,1856709610400,seen,6,15,
1856688579920,set,__FC__,VAR,1856709675856,function,,set([a[j]]),8,16,"args = [3], kwargs = "
1856688579920,seen,__AS__,VAR,1856709680512,set,1856709608832,seen,9,17,
1856709608832,0,__AS__,INNER_FIELD,1856709680896,int,3,<class 'set'>[0],9,17,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,1856709681040,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,9,19,
1856688579920,total_slices,__AS__,VAR,1856709680272,int,1,total_slices,9,20,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,__AS__,VAR,1856709674992,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,15,21,
1856688579920,j,__AS__,VAR,1856709676720,int,1,j,15,22,
1856688579920,set,__FC__,VAR,1856709676912,function,,set([a[j]]),8,23,"args = [4], kwargs = "
1856688579920,seen,__AS__,VAR,1856709688144,set,1856709609952,seen,9,24,
1856709609952,0,__AS__,INNER_FIELD,1856709682528,int,3,<class 'set'>[0],9,24,
1856709609952,1,__AS__,INNER_FIELD,1856709678544,int,4,<class 'set'>[1],9,24,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,1856709558480,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,9,27,
1856688579920,total_slices,__AS__,VAR,1856709561984,int,2,total_slices,9,28,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,1856709680320,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,11,29,
1856688579920,i,__AS__,VAR,1856709682960,int,1,i,11,30,
1856688579920,j,__AS__,VAR,1856709679648,int,1,j,11,31,
1856688579920,set,__FC__,VAR,1856709680224,function,,set(),13,32,"args = , kwargs = "
1856688579920,seen,__AS__,VAR,1856709678304,set,1856709212896,seen,11,33,
1856688579920,set,__FC__,VAR,1856709679216,function,,set([a[j]]),8,34,"args = [4], kwargs = "
1856688579920,seen,__AS__,VAR,1856709683776,set,1856709609952,seen,9,35,
1856709609952,0,__AS__,INNER_FIELD,1856709681568,int,4,<class 'set'>[0],9,35,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,1856709572976,int,3,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,9,37,
1856688579920,total_slices,__AS__,VAR,1856709569520,int,3,total_slices,9,38,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,__AS__,VAR,1856709568992,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,15,39,
1856688579920,j,__AS__,VAR,1856709573264,int,2,j,15,40,
1856688579920,set,__FC__,VAR,1856709569568,function,,set([a[j]]),8,41,"args = [3], kwargs = "
1856688579920,seen,__AS__,VAR,1856709571104,set,1856709609504,seen,9,42,
1856709609504,0,__AS__,INNER_FIELD,1856709571344,int,3,<class 'set'>[0],9,42,
1856709609504,1,__AS__,INNER_FIELD,1856709677440,int,4,<class 'set'>[1],9,42,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,1856709675712,int,4,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,9,45,
1856688579920,total_slices,__AS__,VAR,1856709680656,int,4,total_slices,9,46,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,__AS__,VAR,1856709687904,int,3,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,15,47,
1856688579920,j,__AS__,VAR,1856709567312,int,3,j,15,48,
1856688579920,set,__FC__,VAR,1856709564960,function,,set([a[j]]),8,49,"args = [5], kwargs = "
1856688579920,seen,__AS__,VAR,1856709565008,set,1856709608832,seen,9,50,
1856709608832,0,__AS__,INNER_FIELD,1856709571440,int,3,<class 'set'>[0],9,50,
1856709608832,1,__AS__,INNER_FIELD,1856709566880,int,4,<class 'set'>[1],9,50,
1856709608832,2,__AS__,INNER_FIELD,1856709561840,int,5,<class 'set'>[2],9,50,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,1856709569904,int,5,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,9,54,
1856688579920,total_slices,__AS__,VAR,1856709558816,int,5,total_slices,9,55,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,1856709564528,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,11,56,
1856688579920,i,__AS__,VAR,1856709687232,int,2,i,11,57,
1856688579920,j,__AS__,VAR,1856709673648,int,2,j,11,58,
1856688579920,set,__FC__,VAR,1856709687376,function,,set(),13,59,"args = , kwargs = "
1856688579920,seen,__AS__,VAR,1856709687616,set,1856709211552,seen,11,60,
1856688579920,set,__FC__,VAR,1856709689008,function,,set([a[j]]),8,61,"args = [3], kwargs = "
1856688579920,seen,__AS__,VAR,1856709567792,set,1856709614432,seen,9,62,
1856709614432,0,__AS__,INNER_FIELD,1856709568176,int,3,<class 'set'>[0],9,62,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,1856709562224,int,6,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,9,64,
1856688579920,total_slices,__AS__,VAR,1856709574608,int,6,total_slices,9,65,
1856688579920,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,__AS__,VAR,1856709563520,int,3,__PALADIN_TEMP_AUG_ASSIGN_VAR__2,15,66,
1856688579920,j,__AS__,VAR,1856709569280,int,3,j,15,67,
1856688579920,set,__FC__,VAR,1856709560688,function,,set([a[j]]),8,68,"args = [5], kwargs = "
1856688579920,seen,__AS__,VAR,1856709559584,set,1856709611968,seen,9,69,
1856709611968,0,__AS__,INNER_FIELD,1856709569664,int,3,<class 'set'>[0],9,69,
