container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
2111602062544,sample,__AS__,VAR,2111604458688,list,2111604235712,sample,13,0,
2111604235712,0,__AS__,INNER_FIELD,2111604472416,int,3,<class 'list'>[0],13,0,
2111604235712,1,__AS__,INNER_FIELD,2111604472944,int,4,<class 'list'>[1],13,0,
2111604235712,2,__AS__,INNER_FIELD,2111604466368,int,3,<class 'list'>[2],13,0,
2111604235712,3,__AS__,INNER_FIELD,2111604469584,int,5,<class 'list'>[3],13,0,
2111604235712,4,__AS__,INNER_FIELD,2111604472512,int,4,<class 'list'>[4],13,0,
2111602062544,super_duper_naive,__FC__,VAR,2111604470112,function,,super_duper_naive(sample),14,6,"args = [3, 4, 3, 5, 4], kwargs = "
2111582078752,super_duper_naive,__DEF__,VAR,2111604468432,function,super_duper_naive,super_duper_naive,2,7,
2111582078752,a,__ARG__,VAR,2111604467232,list,"['3', '4', '3', '5', '4']",a,2,8,
2111582078752,total_slices,__AS__,VAR,2111604467280,int,0,total_slices,3,9,
2111582078752,range,__FC__,VAR,2111604463728,function,,range(len(a)),4,10,"args = 5, kwargs = "
2111582078752,i,__AS__,VAR,2111604463680,int,0,i,4,11,
2111291033696,len,__FC__,VAR,2111604466656,function,,len(a),5,12,"args = [3, 4, 3, 5, 4], kwargs = "
2111582078752,range,__FC__,VAR,2111604461904,function,,"range(i + 1, __FC__('len(a)', len, locals(), globals(), __FRAME__(), 5, a) + 1)",5,13,"args = 1, 6, kwargs = "
2111582078752,j,__AS__,VAR,2111604462912,int,1,j,5,14,
2111291033696,len,__FC__,VAR,2111604467136,function,,len(set(a[i:j])),6,15,"args = {3}, kwargs = "
2111582078752,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2111604460560,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,7,16,
2111582078752,total_slices,__AS__,VAR,2111604457776,int,1,total_slices,7,17,
2111582078752,j,__AS__,VAR,2111604462672,int,2,j,5,18,
2111291033696,len,__FC__,VAR,2111604459360,function,,len(set(a[i:j])),6,19,"args = {3, 4}, kwargs = "
