container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
1809502219328,main,__FC__,VAR,1809502194608,function,,main(),17,0,"args = , kwargs = "
1809500645760,main,__DEF__,VAR,1809502194272,function,main,main,1,1,
1809500645760,number,__AS__,VAR,1809502201136,int,13,number,11,2,
1809500645760,is_prime_naive_solution,__FC__,VAR,1809502206080,function,,is_prime_naive_solution(number),12,3,"args = 13, kwargs = "
1809500647200,is_prime_naive_solution,__DEF__,VAR,1809502207088,function,is_prime_naive_solution,is_prime_naive_solution,1,4,
1809500647200,number,__ARG__,VAR,1809502207904,int,13,number,1,5,
1809500647200,range,__FC__,VAR,1809502204928,function,,"range(2, number)",4,6,"args = 2, 13, kwargs = "
1809500647200,i,__AS__,VAR,1809502198208,int,2,i,4,7,
1809500647200,i,__AS__,VAR,1809501930016,int,3,i,4,8,
1809500647200,i,__AS__,VAR,1809502200224,int,4,i,4,9,
1809500647200,i,__AS__,VAR,1809502202912,int,5,i,4,10,
1809500647200,i,__AS__,VAR,1809502201472,int,6,i,4,11,
1809500647200,i,__AS__,VAR,1809502201712,int,7,i,4,12,
1809500647200,i,__AS__,VAR,1809502197344,int,8,i,4,13,
1809500647200,i,__AS__,VAR,1809502195280,int,9,i,4,14,
1809500647200,i,__AS__,VAR,1809502197824,int,10,i,4,15,
1809500647200,i,__AS__,VAR,1809502200464,int,11,i,4,16,
1809500647200,i,__AS__,VAR,1809502203824,int,12,i,4,17,
1809500647200,is_prime_naive_solution,__UNDEF__,VAR,1809502198784,function,is_prime_naive_solution,is_prime_naive_solution,1,18,
1809500645760,result,__AS__,VAR,1809502196480,bool,True,result,12,19,
1809184819296,print,__FC__,VAR,1809502193024,function,,print(result),13,20,"args = True, kwargs = "
1809500645760,main,__UNDEF__,VAR,1809502203536,function,main,main,1,21,
