container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
2173446341184,main,__FC__,VAR,2173446379056,function,,main(),22,0,"args = , kwargs = "
2173446344768,main,__DEF__,VAR,2173446379392,function,main,main,1,1,
2173446344768,numbers,__AS__,VAR,2173446388992,list,2173446242112,numbers,16,2,
2173446242112,0,__AS__,INNER_FIELD,2173446387264,int,0,<class 'list'>[0],16,2,
2173446242112,1,__AS__,INNER_FIELD,2173446388032,int,3,<class 'list'>[1],16,2,
2173446242112,2,__AS__,INNER_FIELD,2173446380256,int,2,<class 'list'>[2],16,2,
2173446242112,3,__AS__,INNER_FIELD,2173446380160,int,3,<class 'list'>[3],16,2,
2173446242112,4,__AS__,INNER_FIELD,2173446385248,int,2,<class 'list'>[4],16,2,
2173446242112,5,__AS__,INNER_FIELD,2173446383760,int,0,<class 'list'>[5],16,2,
2173446242112,6,__AS__,INNER_FIELD,2173446378816,int,2,<class 'list'>[6],16,2,
2173446242112,7,__AS__,INNER_FIELD,2173446377328,int,2,<class 'list'>[7],16,2,
2173446242112,8,__AS__,INNER_FIELD,2173446385728,int,4,<class 'list'>[8],16,2,
2173446344768,move_zeros_1,__FC__,VAR,2173446373968,function,,move_zeros_1(numbers),17,12,"args = [0, 3, 2, 3, 2, 0, 2, 2, 4], kwargs = "
2173446184768,move_zeros_1,__DEF__,VAR,2173446375600,function,move_zeros_1,move_zeros_1,1,13,
2173446184768,nums,__ARG__,VAR,2173446381216,list,"['3', '2', '3', '2', '2', '2', '4', '0', '0']",nums,1,14,
2173446184768,k,__AS__,VAR,2173446388464,int,0,k,2,15,
2173446184768,range,__FC__,VAR,2173446377280,function,,range(len(nums)),3,16,"args = 9, kwargs = "
2173446184768,i,__AS__,VAR,2173446376224,int,0,i,3,17,
2173446184768,i,__AS__,VAR,2173446375456,int,1,i,3,18,
2173446242112,0,__AS__,VAR,2173446378144,int,3,nums[k],6,19,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2173446374304,int,1,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,6,20,
2173446184768,k,__AS__,VAR,2173446316160,int,1,k,6,21,
2173446184768,i,__AS__,VAR,2173446382224,int,2,i,3,22,
2173446242112,1,__AS__,VAR,2173446374832,int,2,nums[k],6,23,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2173446380208,int,2,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,6,24,
2173446184768,k,__AS__,VAR,2173446374160,int,2,k,6,25,
2173446184768,i,__AS__,VAR,2173446383520,int,3,i,3,26,
2173446242112,2,__AS__,VAR,2173446384000,int,3,nums[k],6,27,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2173446375552,int,3,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,6,28,
2173446184768,k,__AS__,VAR,2173446316640,int,3,k,6,29,
2173446184768,i,__AS__,VAR,2173446317216,int,4,i,3,30,
2173446242112,3,__AS__,VAR,2173446319856,int,2,nums[k],6,31,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2173446319184,int,4,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,6,32,
2173446184768,k,__AS__,VAR,2173446320672,int,4,k,6,33,
2173446184768,i,__AS__,VAR,2173446387840,int,5,i,3,34,
2173446184768,i,__AS__,VAR,2173446388656,int,6,i,3,35,
2173446242112,4,__AS__,VAR,2173446386784,int,2,nums[k],6,36,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2173446377616,int,5,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,6,37,
2173446184768,k,__AS__,VAR,2173446382080,int,5,k,6,38,
2173446184768,i,__AS__,VAR,2173446321200,int,7,i,3,39,
2173446242112,5,__AS__,VAR,2173446320480,int,2,nums[k],6,40,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2173446315056,int,6,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,6,41,
2173446184768,k,__AS__,VAR,2173446316784,int,6,k,6,42,
2173446184768,i,__AS__,VAR,2173446314528,int,8,i,3,43,
2173446242112,6,__AS__,VAR,2173446313328,int,4,nums[k],6,44,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,__AS__,VAR,2173446373440,int,7,__PALADIN_TEMP_AUG_ASSIGN_VAR__0,6,45,
2173446184768,k,__AS__,VAR,2173446382704,int,7,k,6,46,
2175276320864,len,__FC__,VAR,2173446379824,function,,len(nums),8,47,"args = [3, 2, 3, 2, 2, 2, 4, 2, 4], kwargs = "
2173446242112,7,__AS__,VAR,2173446377088,int,0,nums[k],10,48,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,2173446378528,int,8,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,10,49,
2173446184768,k,__AS__,VAR,2173446319472,int,8,k,10,50,
2175276320864,len,__FC__,VAR,2173446313088,function,,len(nums),8,51,"args = [3, 2, 3, 2, 2, 2, 4, 0, 4], kwargs = "
2173446242112,8,__AS__,VAR,2173446310688,int,0,nums[k],10,52,
2173446184768,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,__AS__,VAR,2173446321824,int,9,__PALADIN_TEMP_AUG_ASSIGN_VAR__1,10,53,
2173446184768,k,__AS__,VAR,2173446322064,int,9,k,10,54,
2175276320864,len,__FC__,VAR,2173446308144,function,,len(nums),8,55,"args = [3, 2, 3, 2, 2, 2, 4, 0, 0], kwargs = "
2173446184768,move_zeros_1,__UNDEF__,VAR,2173446319616,function,move_zeros_1,move_zeros_1,1,56,
2173446242112,0,__AS__,INNER_FIELD,2173446313616,int,3,<class 'list'>[0],17,57,
2173446242112,1,__AS__,INNER_FIELD,2173446309536,int,2,<class 'list'>[1],17,57,
2173446242112,2,__AS__,INNER_FIELD,2173446380640,int,3,<class 'list'>[2],17,57,
2173446242112,3,__AS__,INNER_FIELD,2173446385344,int,2,<class 'list'>[3],17,57,
2173446242112,4,__AS__,INNER_FIELD,2173446374016,int,2,<class 'list'>[4],17,57,
2173446242112,5,__AS__,INNER_FIELD,2173446384960,int,2,<class 'list'>[5],17,57,
2173446242112,6,__AS__,INNER_FIELD,2173446317648,int,4,<class 'list'>[6],17,57,
2173446242112,7,__AS__,INNER_FIELD,2173446323888,int,0,<class 'list'>[7],17,57,
2173446242112,8,__AS__,INNER_FIELD,2173446312560,int,0,<class 'list'>[8],17,57,
2173446344768,result,__AS__,VAR,2173446310736,list,2173446242112,result,17,57,
2175276320864,print,__FC__,VAR,2173446318752,function,,print(result),18,67,"args = [3, 2, 3, 2, 2, 2, 4, 0, 0], kwargs = "
2173446344768,main,__UNDEF__,VAR,2173446324128,function,main,main,1,68,
