container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
5317621312,TEXT,__AS__,VAR,5318113408,int,0,TEXT,10,0,
5317621312,IMAGE,__AS__,VAR,5318110672,int,1,IMAGE,11,1,
5317621312,AUDIO,__AS__,VAR,5318112016,int,2,AUDIO,12,2,
5317621312,VIDEO,__AS__,VAR,5318109664,int,3,VIDEO,13,3,
5302709456,main,__DEF__,VAR,5318106160,function,main,main,79,4,
5377220112,seed,__FC__,FUNCTION_CALL,5318106304,NoneType,,seed,80,5,main@127
5316733504,Server.__init__,__DEF__,VAR,5318107264,function,Server.__init__,Server.__init__,21,6,
5316733504,self,__AS__,VAR,5318110336,Server,5318106112,self,21,7,
5318106112,todo,__AS__,OBJ_ITEM,5318104240,list,5317451520,self.todo,22,8,
5317451520,,__AS__,LIST_ITEM,5318108176,NoneType,5285641392,,22,8,
5318106112,summaries,__AS__,OBJ_ITEM,5318111008,list,5317451456,self.summaries,23,9,
5317451456,,__AS__,LIST_ITEM,5318108896,NoneType,5285641392,,23,9,
5316733504,Server.__init__,__UNDEF__,VAR,5318108224,function,Server.__init__,Server.__init__,23,10,
5317451520,,__AS__,LIST_ITEM,5318101552,NoneType,5285641392,,81,11,
5317451456,,__AS__,LIST_ITEM,5318101840,NoneType,5285641392,,81,11,
5302709456,Server,__FC__,FUNCTION_CALL,5318100592,Server,5318106112,Server,81,11,main@128
5318106112,todo,__AS__,DICT_ITEM,5318099776,"str, list",5317451520,5317779264[todo] = 5317451520,81,11,
5318106112,summaries,__AS__,DICT_ITEM,5318102416,"str, list",5317451456,5317779264[summaries] = 5317451456,81,11,
5317451520,,__AS__,LIST_ITEM,5318100928,NoneType,5285641392,,81,12,
5317451456,,__AS__,LIST_ITEM,5318106976,NoneType,5285641392,,81,12,
5318106112,todo,__AS__,DICT_ITEM,5318105056,"str, list",5317451520,5317779264[todo] = 5317451520,81,12,
5318106112,summaries,__AS__,DICT_ITEM,5318104144,"str, list",5317451456,5317779264[summaries] = 5317451456,81,12,
5302709456,server,__AS__,VAR,5318109424,Server,5318106112,server,81,12,
4562341760,__subclasses__,__FC__,FUNCTION_CALL,5317944912,list,5317451200,__subclasses__,82,13,main@130
5317451200,0,__AS__,LIST_ITEM,5317938480,type,4562342704,<class 'list'>[0],82,13,
5317451200,1,__AS__,LIST_ITEM,5317937760,type,4562343648,<class 'list'>[1],82,13,
5317451200,2,__AS__,LIST_ITEM,5318112592,type,4562344592,<class 'list'>[2],82,13,
5317451200,3,__AS__,LIST_ITEM,5318110048,type,4562345536,<class 'list'>[3],82,13,
5313231424,Worker.__init__,__DEF__,VAR,5318102224,function,Worker.__init__,Worker.__init__,27,14,
5313231424,self,__AS__,VAR,5318100160,TimelessWorker,5318108464,self,27,15,
5313231424,server,__AS__,VAR,5318106448,Server,5318106112,server,27,15,
5317451520,,__AS__,LIST_ITEM,5317945632,NoneType,5285641392,,28,16,
5317451456,,__AS__,LIST_ITEM,5317949088,NoneType,5285641392,,28,16,
5318106112,todo,__AS__,DICT_ITEM,5318114848,"str, list",5317451520,5317779264[todo] = 5317451520,28,16,
5318106112,summaries,__AS__,DICT_ITEM,5317948944,"str, list",5317451456,5317779264[summaries] = 5317451456,28,16,
5318108464,server,__AS__,OBJ_ITEM,5318113648,Server,5318106112,self.server,28,16,
